Index,Filename
0,train/21213_WOMEN_Tees_Tanks_00001660_05_1_front.jpg
1,train/23775_WOMEN_Rompers_Jumpsuits_00006408_03_1_front.jpg
2,train/32233_WOMEN_Blouses_Shirts_00004816_04_3_back.jpg
3,train/7992_WOMEN_Shorts_00006433_04_7_additional.jpg
4,train/12006_WOMEN_Tees_Tanks_00004935_03_2_side.jpg
5,train/27944_WOMEN_Blouses_Shirts_00004961_01_1_front.jpg
6,train/23470_WOMEN_Rompers_Jumpsuits_00005681_02_3_back.jpg
7,train/23810_WOMEN_Rompers_Jumpsuits_00001605_04_1_front.jpg
8,train/31790_WOMEN_Blouses_Shirts_00004255_05_7_additional.jpg
9,train/30437_WOMEN_Blouses_Shirts_00001832_01_1_front.jpg
10,train/13019_WOMEN_Tees_Tanks_00006924_01_4_full.jpg
11,train/5022_MEN_Jackets_Vests_00005346_01_4_full.jpg
12,train/15454_WOMEN_Tees_Tanks_00004159_02_4_full.jpg
13,train/28225_WOMEN_Blouses_Shirts_00007039_02_7_additional.jpg
14,train/29355_WOMEN_Blouses_Shirts_00001301_02_3_back.jpg
15,train/40187_WOMEN_Dresses_00003920_05_1_front.jpg
16,train/44305_WOMEN_Sweatshirts_Hoodies_00005733_01_4_full.jpg
17,train/13144_WOMEN_Tees_Tanks_00005361_04_3_back.jpg
18,train/3505_MEN_Tees_Tanks_00004170_04_7_additional.jpg
19,train/39912_WOMEN_Dresses_00000188_02_1_front.jpg
20,train/16165_WOMEN_Tees_Tanks_00003415_02_7_additional.jpg
21,train/28453_WOMEN_Blouses_Shirts_00004823_03_2_side.jpg
22,train/43236_WOMEN_Cardigans_00002952_02_7_additional.jpg
23,train/43572_WOMEN_Cardigans_00004378_02_7_additional.jpg
24,train/25318_WOMEN_Skirts_00005944_02_2_side.jpg
25,train/22460_WOMEN_Graphic_Tees_00001143_01_2_side.jpg
26,train/2542_MEN_Tees_Tanks_00004117_23_3_back.jpg
27,train/42050_WOMEN_Jackets_Coats_00005263_14_7_additional.jpg
28,train/14774_WOMEN_Tees_Tanks_00000701_02_7_additional.jpg
29,train/22419_WOMEN_Graphic_Tees_00005236_01_1_front.jpg
